Area,Year,Maximum Values,Median
Argentina,2014.0,2208.0,2194.0
Cameroon,2019.0,46.0,39.0
Chile,2014.0,3612.0,2955.0
China,2011.0,182655.0,158893.0
"China, mainland",2019.0,41642.0,35054.0
Congo,2019.0,3953.0,3696.0
Cook Islands,2009.0,698.0,590.0
Dominica,2014.0,83.0,82.0
Ecuador,2016.0,51065.0,45000.0
Guinea-Bissau,2019.0,3507.0,2937.0
Haiti,2015.0,101.0,100.0
Morocco,2019.0,172.0,170.0
Mozambique,2012.0,45000.0,42992.0
Nigeria,2015.0,879278.0,840228.0
Paraguay,2012.0,12000.0,11511.0
Samoa,2009.0,3850.0,3438.0
Tunisia,2019.0,74.0,70.0
Zimbabwe,2010.0,49.0,46.0
